Corridor,Camera,Link To File,Date,Time,Notes,Any Trigger,Human Elements,People,Motorbikes,Cars,Domestic Animals,Shoats,Camels,Donkeys,Cattle,Domestic Dogs,Wild Animals
lapus,B3,/Users/test/Pictures/B3/IMG_0013.JPG,2021/08/06,11:56:39,,1,1,1,0,0,0,0,0,0,0,0,0
lapus,B3,/Users/test/Pictures/B3/IMG_0014.JPG,2021/08/06,11:56:40,,1,1,1,0,0,0,0,0,0,0,0,0
lapus,B3,/Users/test/Pictures/B3/IMG_0604.JPG,2021/08/12,07:09:47,,0,0,0,0,0,0,0,0,0,0,0,0
lapus,B3,/Users/test/Pictures/B3/IMG_0605.JPG,2021/08/12,07:09:48,,0,0,0,0,0,0,0,0,0,0,0,0
lapus,B3,/Users/test/Pictures/B3/IMG_0606.JPG,2021/08/12,07:09:49,,0,0,0,0,0,0,0,0,0,0,0,0
lapus,B3,/Users/test/Pictures/B3/elephant.jpeg,2004/06/03,16:53:30,,1,0,0,0,0,0,0,0,0,0,0,1
lapus,B3,/Users/test/Pictures/B3/hyena.jpeg,,,,1,0,0,0,0,0,0,0,0,0,0,1
lapus,B3,/Users/test/Pictures/B3/painteddog.jpeg,,,,1,0,0,0,0,0,0,0,0,0,0,1
